Date,Open,High,Low,Close,Volume,Adj Close
8/20/2014,585.88,586.7,582.57,584.49,1033900,584.49
8/19/2014,585,587.34,584,586.86,976000,586.86
8/18/2014,576.11,584.51,576,582.16,1280600,582.16
8/15/2014,577.86,579.38,570.52,573.48,1515000,573.48
8/14/2014,576.18,577.9,570.88,574.65,982800,574.65
8/13/2014,567.31,575,565.75,574.78,1437900,574.78
8/12/2014,564.52,565.9,560.88,562.73,1537800,562.73
8/11/2014,569.99,570.49,566,567.88,1211400,567.88
8/8/2014,563.56,570.25,560.35,568.77,1490700,568.77
8/7/2014,568,569.89,561.1,563.36,1107900,563.36
8/6/2014,561.78,570.7,560,566.37,1330700,566.37
8/5/2014,570.05,571.98,562.61,565.07,1547000,565.07
8/4/2014,569.04,575.35,564.1,573.15,1423400,573.15
8/1/2014,570.4,575.96,562.85,566.07,1949900,566.07
7/31/2014,580.6,583.65,570,571.6,2097000,571.6
7/30/2014,586.55,589.5,584,587.42,1013700,587.42
7/29/2014,588.75,589.7,583.52,585.61,1346200,585.61
7/28/2014,588.07,592.5,584.75,590.6,984100,590.6
7/25/2014,590.4,591.86,587.03,589.02,929900,589.02
7/24/2014,596.45,599.5,591.77,593.35,1032300,593.35
7/23/2014,593.23,597.85,592.5,595.98,1229800,595.98
7/22/2014,590.72,599.65,590.6,594.74,1694500,594.74
7/21/2014,591.75,594.4,585.23,589.47,2056500,589.47
7/18/2014,593,596.8,582,595.08,4003200,595.08
7/17/2014,579.53,580.99,568.61,573.73,3008300,573.73
7/16/2014,588,588.4,582.2,582.66,1393300,582.66
7/15/2014,585.74,585.8,576.56,584.78,1618600,584.78
7/14/2014,582.6,585.21,578.03,584.87,1849000,584.87
7/11/2014,571.91,580.85,571.42,579.18,1617300,579.18
7/10/2014,565.91,576.59,565.01,571.1,1353000,571.1
7/9/2014,571.58,576.72,569.38,576.08,1113700,576.08
7/8/2014,577.66,579.53,566.14,571.09,1904300,571.09
7/7/2014,583.76,586.43,579.59,582.25,1061700,582.25
7/3/2014,583.35,585.01,580.92,584.73,712200,584.73
7/2/2014,583.35,585.44,580.39,582.34,1053500,582.34
7/1/2014,578.32,584.4,576.65,582.67,1444000,582.67
6/30/2014,578.66,579.57,574.75,575.28,1310200,575.28
6/27/2014,577.18,579.87,573.8,577.24,2230800,577.24
6/26/2014,581,582.45,571.85,576,1737200,576
6/25/2014,565.26,579.96,565.22,578.65,1964000,578.65
6/24/2014,565.19,572.65,561.01,564.62,2201100,564.62
6/23/2014,555.15,565,554.25,564.95,1532600,564.95
6/20/2014,556.85,557.58,550.39,556.36,4496000,556.36
6/19/2014,554.24,555,548.51,554.9,2450100,554.9
6/18/2014,544.86,553.56,544,553.37,1737000,553.37
6/17/2014,544.2,545.32,539.33,543.01,1440600,543.01
6/16/2014,549.26,549.62,541.52,544.28,1697900,544.28
6/13/2014,552.26,552.3,545.56,551.76,1217200,551.76
6/12/2014,557.3,557.99,548.46,551.35,1454500,551.35
6/11/2014,558,559.88,555.02,558.84,1097100,558.84
6/10/2014,560.51,563.6,557.9,560.55,1348000,560.55
6/9/2014,557.15,562.9,556.04,562.12,1463500,562.12
6/6/2014,558.06,558.06,548.93,556.33,1732000,556.33
6/5/2014,546.4,554.95,544.45,553.9,1684500,553.9
6/4/2014,541.5,548.61,538.75,544.66,1811500,544.66
6/3/2014,550.99,552.34,542.55,544.94,1861500,544.94
6/2/2014,560.7,560.9,545.73,553.93,1431100,553.93
5/30/2014,560.8,561.35,555.91,559.89,1766300,559.89
5/29/2014,563.35,564,558.71,560.08,1350400,560.08
5/28/2014,564.57,567.84,561,561.68,1647500,561.68
5/27/2014,556,566,554.35,565.95,2098400,565.95
5/23/2014,547.26,553.64,543.7,552.7,1926900,552.7
5/22/2014,541.13,547.6,540.78,545.06,1611400,545.06
5/21/2014,532.9,539.18,531.91,538.94,1193000,538.94
5/20/2014,529.74,536.23,526.3,529.77,1779900,529.77
5/19/2014,519.7,529.78,517.58,528.86,1274300,528.86
5/16/2014,521.39,521.8,515.44,520.63,1481200,520.63
5/15/2014,525.7,525.87,517.42,519.98,1699700,519.98
5/14/2014,533,533,525.29,526.65,1188500,526.65
5/13/2014,530.89,536.07,529.51,533.09,1648900,533.09
5/12/2014,523.51,530.19,519.01,529.92,1907300,529.92
5/9/2014,510.75,519.9,504.2,518.73,2432800,518.73
5/8/2014,508.46,517.23,506.45,511,2015800,511
5/7/2014,515.79,516.68,503.3,509.96,3215500,509.96
5/6/2014,525.23,526.81,515.06,515.14,1684400,515.14
5/5/2014,524.82,528.9,521.32,527.81,1021300,527.81
5/2/2014,533.76,534,525.61,527.93,1683900,527.93
5/1/2014,527.11,532.93,523.88,531.35,1900300,531.35
4/30/2014,527.6,528,522.52,526.66,1746400,526.66
4/29/2014,516.9,529.46,516.32,527.7,2691700,527.7
4/28/2014,517.18,518.6,502.8,517.15,3326400,517.15
4/25/2014,522.51,524.7,515.42,516.18,2094600,516.18
4/24/2014,530.07,531.65,522.12,525.16,1878000,525.16
4/23/2014,533.79,533.87,526.25,526.94,2046700,526.94
4/22/2014,528.64,537.23,527.51,534.81,2358900,534.81
4/21/2014,536.1,536.7,525.6,528.62,2559700,528.62
4/17/2014,548.81,549.5,531.15,536.1,6790900,536.1
4/16/2014,543,557,540,556.54,4879900,556.54
4/15/2014,536.82,538.45,518.46,536.44,3844500,536.44
4/14/2014,538.25,544.1,529.56,532.52,2568000,532.52
4/11/2014,532.55,540,526.53,530.6,3914100,530.6
4/10/2014,565,565,539.9,540.95,4025800,540.95
4/9/2014,559.62,565.37,552.95,564.14,3321700,564.14
4/8/2014,542.6,555,541.61,554.9,3142600,554.9
4/7/2014,540.74,548.48,527.15,538.15,4389600,538.15
4/4/2014,574.65,577.77,543,543.14,6351900,543.14
4/3/2014,569.85,587.28,564.13,569.74,5085200,569.74
4/2/2014,599.99,604.83,562.19,567,146700,567
4/1/2014,558.71,568.45,558.71,567.16,7900,567.16
3/31/2014,566.89,567,556.93,556.97,10800,556.97
3/28/2014,561.2,566.43,558.67,559.99,41100,559.99
3/27/2014,568,568,552.92,558.46,13100,558.46
